YEAR,MEAN,Q25,Q50,Q75,STD,COVAR,SKEW,MAX,MIN,RANGE,BFIX,RISER,FALLR
1921,57.625931,12.600000,29.200001,58.599998,83.693695,1.452362,3.365218,538.000000,5.320000,532.679993,0.092543,1.400000,-1.399998
1922,69.476036,7.930000,14.000000,41.299999,164.480270,2.367439,3.871125,1000.000000,5.550000,994.450012,0.081981,2.100000,-0.400000
1923,56.820724,6.460000,31.100000,77.599998,68.810539,1.211011,2.279975,411.000000,4.470000,406.529999,0.078668,1.400002,-2.000000
1924,66.120476,20.100000,34.500000,62.974998,85.200050,1.288558,2.647852,484.000000,12.700000,471.299988,0.193370,2.299999,-1.000000
1925,82.894257,15.900000,33.099998,101.000000,101.834663,1.228489,1.875499,436.000000,10.800000,425.200012,0.130286,3.000000,-1.100000
1926,88.386734,11.000000,81.000000,127.000000,84.846107,0.959942,1.438962,405.000000,4.590000,400.410004,0.051931,4.000000,-2.000000
1927,122.860275,29.500000,65.400002,122.000000,151.197891,1.230649,2.258569,869.000000,15.900000,853.099976,0.131508,6.500000,-2.000000
1928,182.537079,37.900002,127.000000,264.000000,205.855591,1.127747,2.678643,1310.000000,13.500000,1296.500000,0.076384,7.000000,-3.100006
1929,110.779472,28.600000,68.800003,171.000000,107.801407,0.973117,1.394719,487.000000,12.900000,474.100006,0.116448,6.000000,-2.300003
1930,101.939575,19.700001,38.799999,89.800003,174.829727,1.715033,3.797459,1250.000000,12.400000,1237.599976,0.128227,2.299999,-0.900002
1931,79.199188,11.000000,36.799999,102.000000,107.759560,1.360614,2.658315,660.000000,4.810000,655.190002,0.064701,3.000000,-2.000000
1932,100.781097,32.000000,60.049999,93.199997,129.611404,1.286069,2.989640,725.000000,23.200001,701.799988,0.233179,3.099998,-1.700001
1933,95.298264,18.100000,25.500000,47.000000,175.909973,1.845888,2.469024,807.000000,7.790000,799.210022,0.085281,1.850000,-1.100000
1934,109.036530,14.400000,54.099998,124.000000,163.863266,1.502829,3.048318,887.000000,9.630000,877.369995,0.088319,6.000000,-4.000000
1935,129.096420,35.099998,77.900002,121.000000,157.445984,1.219600,2.407747,824.000000,15.900000,808.099976,0.123164,8.000000,-7.400002
1936,107.128113,13.900000,23.650000,60.599998,230.723969,2.153720,3.404710,1200.000000,7.390000,1192.609985,0.081131,2.000000,-1.100001
1937,92.760658,16.299999,39.099998,81.300003,158.572220,1.709477,3.865255,1060.000000,9.460000,1050.540039,0.123421,2.650000,-1.799999
1938,127.148758,24.600000,39.099998,117.000000,194.763382,1.531776,2.621495,1050.000000,12.400000,1037.599976,0.100108,3.700005,-1.099998
1939,124.260597,24.900000,50.700001,89.500000,225.511932,1.814831,3.645358,1480.000000,15.600000,1464.400024,0.127152,2.600000,-1.400002
1940,107.899483,19.100000,35.099998,70.349998,190.246628,1.763184,2.555809,867.000000,10.400000,856.599976,0.097975,4.000000,-1.400002
1941,132.735901,22.900000,80.699997,158.000000,170.241043,1.282555,2.875914,1110.000000,12.000000,1098.000000,0.092342,6.000000,-4.000000
1942,120.661919,28.200001,53.000000,143.000000,151.683960,1.257099,2.444402,883.000000,16.900000,866.099976,0.141245,5.000000,-2.500000
1943,98.285690,19.100000,29.700001,67.699997,157.991135,1.607468,2.522023,900.000000,2.970000,897.030029,0.051061,1.399998,-0.600002
1944,94.093758,13.500000,42.349998,101.000000,150.865036,1.603348,3.391013,1020.000000,10.800000,1009.200012,0.116601,1.099998,-1.899998
1945,96.824120,38.500000,55.500000,111.000000,101.459297,1.047872,2.428497,674.000000,14.200000,659.799988,0.147543,1.599999,-1.900000
1946,110.627411,30.299999,51.000000,137.000000,139.297485,1.259159,3.077134,949.000000,17.400000,931.599976,0.166066,3.699997,-1.700001
1947,132.415970,20.400000,32.000000,98.300003,249.614075,1.885075,2.914788,1390.000000,11.300000,1378.699951,0.085984,3.000000,-0.599999
1948,78.450417,13.425000,45.000000,76.125000,127.599220,1.626495,4.261049,912.000000,8.470000,903.530029,0.108276,2.899994,-2.900002
1949,89.722717,22.100000,36.000000,83.800003,150.787903,1.680599,3.693203,937.000000,12.000000,925.000000,0.138204,2.299999,-1.000000
1950,121.158714,16.900000,40.200001,88.900002,224.995483,1.857031,3.220983,1190.000000,9.120000,1180.880005,0.076476,2.000000,-1.299999
1951,119.358307,23.500000,53.200001,115.000000,179.633453,1.504993,3.043754,1070.000000,16.000000,1054.000000,0.135726,5.650003,-2.799995
1952,92.178192,25.000000,34.400002,78.400002,129.060608,1.400121,2.652448,779.000000,11.200000,767.799988,0.122434,2.049999,-1.350000
1953,105.745186,19.200001,33.400002,96.800003,185.855362,1.757578,3.220066,1130.000000,4.530000,1125.469971,0.082922,2.599998,-2.700001
1954,118.006821,18.000000,58.599998,137.000000,162.841324,1.379931,2.715439,946.000000,12.700000,933.299988,0.112221,4.500000,-2.900002
1955,71.396149,14.100000,31.100000,68.800003,112.833176,1.580382,3.242149,753.000000,5.950000,747.049988,0.088380,2.000000,-0.950001
1956,106.837357,25.600000,50.700001,110.750000,148.574081,1.390657,2.726739,872.000000,13.100000,858.900024,0.125023,4.000000,-1.199999
1957,97.646027,19.299999,47.000000,97.699997,179.706451,1.840387,4.586817,1320.000000,8.890000,1311.109985,0.098899,2.599998,-2.950001
1958,103.587959,30.600000,66.000000,140.000000,100.196526,0.967260,1.715227,578.000000,10.600000,567.400024,0.104949,4.600000,-4.000000
1959,102.031456,26.400000,47.299999,130.000000,141.801453,1.389782,3.547477,1030.000000,14.200000,1015.799988,0.140293,3.400002,-2.500000
1960,125.597839,25.200001,31.150002,71.599998,236.715546,1.884710,2.759631,1190.000000,15.700000,1174.300049,0.128414,2.650000,-1.099998
1961,142.645233,21.799999,102.000000,190.000000,156.772247,1.099036,1.882216,912.000000,9.400000,902.599976,0.066409,8.000000,-3.400002
1962,106.313110,28.000000,47.299999,123.000000,136.820129,1.286954,2.303693,779.000000,14.200000,764.799988,0.144049,4.100000,-1.599998
1963,84.029594,19.000000,26.500000,75.300003,121.797707,1.449462,2.192447,595.000000,11.300000,583.700012,0.136177,2.000000,-0.800001
1964,135.010666,17.400000,78.300003,177.750000,166.008835,1.229598,2.451888,977.000000,9.490000,967.510010,0.077031,8.500000,-3.699997
1965,109.738342,24.500000,57.500000,131.000000,141.062775,1.285447,2.391043,705.000000,10.700000,694.299988,0.102321,6.000000,-1.199997
1966,126.746048,34.000000,63.700001,133.000000,161.260315,1.272310,2.602355,943.000000,18.700001,924.299988,0.149793,9.249998,-2.000000
1967,106.632927,22.700001,40.200001,82.099998,159.529251,1.496060,2.176730,711.000000,7.670000,703.330017,0.074876,6.199997,-1.100002
1968,143.237701,26.549999,91.449997,198.000000,157.274857,1.097999,2.154878,898.000000,11.300000,886.700012,0.079289,10.500000,-4.199997
1969,105.144936,30.299999,47.599998,92.000000,156.082016,1.484446,2.835074,762.000000,17.000000,745.000000,0.174861,4.000000,-1.400002
1970,89.474907,17.600000,50.700001,94.599998,117.499588,1.313213,2.918821,770.000000,9.510000,760.489990,0.107005,6.000000,-1.599998
1971,104.740013,23.200001,62.900002,112.000000,134.594666,1.285036,2.368288,623.000000,12.000000,611.000000,0.116070,10.199997,-3.099999
1972,97.701927,24.299999,47.299999,100.675003,140.877304,1.441909,3.031763,804.000000,13.300000,790.700012,0.137444,5.299999,-1.400002
